Species: 1: 1. Tains Ants;  
Nations: 2: 1. First Nation;  2. Second Nation;  
Bases:   2: 1. Base, 500, 500;  2. Base, 510, 510;  
*********************
 Round, 1:
First Nation:Second Nation:
Tains Ants, First Nation, 1: 504, 501, 261
Tains Ants, First Nation, 2: 496, 500, 89
Tains Ants, First Nation, 3: 504, 500, 277
Tains Ants, First Nation, 4: 496, 501, 105
Tains Ants, First Nation, 5: 504, 498, 293
Tains Ants, First Nation, 6: 497, 502, 121
Tains Ants, First Nation, 7: 503, 497, 309
Tains Ants, First Nation, 8: 497, 503, 137
Tains Ants, First Nation, 9: 502, 497, 326
Tains Ants, First Nation, 10: 498, 504, 154
Tains Ants, First Nation, 11: 501, 496, 342
Tains Ants, First Nation, 12: 499, 504, 170
Tains Ants, First Nation, 13: 500, 496, 358
Tains Ants, First Nation, 14: 500, 504, 186
Tains Ants, First Nation, 15: 499, 496, 14
Tains Ants, First Nation, 16: 501, 504, 202
Tains Ants, First Nation, 17: 498, 497, 30
Tains Ants, First Nation, 18: 502, 503, 218
Tains Ants, First Nation, 19: 497, 497, 46
Tains Ants, First Nation, 20: 503, 502, 234
Tains Ants, First Nation, 21: 496, 498, 62
Tains Ants, First Nation, 22: 504, 501, 250
Tains Ants, First Nation, 23: 496, 499, 79
Tains Ants, First Nation, 24: 504, 500, 267
Tains Ants, First Nation, 25: 496, 500, 95
Tains Ants, First Nation, 26: 504, 499, 283
Tains Ants, First Nation, 27: 496, 501, 111
Tains Ants, First Nation, 28: 503, 498, 299
Tains Ants, First Nation, 29: 497, 502, 127
Tains Ants, First Nation, 30: 503, 497, 315
Tains Ants, First Nation, 31: 498, 503, 143
Tains Ants, First Nation, 32: 502, 497, 331
Tains Ants, First Nation, 33: 499, 504, 159
Tains Ants, First Nation, 34: 501, 496, 347
Tains Ants, First Nation, 35: 500, 504, 175
Tains Ants, First Nation, 36: 500, 496, 4
Tains Ants, First Nation, 37: 501, 504, 192
Tains Ants, First Nation, 38: 499, 496, 20
Tains Ants, First Nation, 39: 502, 504, 208
Tains Ants, First Nation, 40: 498, 497, 36
Tains Ants, First Nation, 41: 503, 503, 224
Tains Ants, First Nation, 42: 497, 498, 52
Tains Ants, First Nation, 43: 503, 502, 240
Tains Ants, First Nation, 44: 496, 499, 68
Tains Ants, First Nation, 45: 504, 501, 256
Tains Ants, First Nation, 46: 496, 500, 84
Tains Ants, First Nation, 47: 504, 500, 272
Tains Ants, First Nation, 48: 496, 501, 100
Tains Ants, First Nation, 49: 504, 499, 288
Tains Ants, First Nation, 50: 496, 502, 117
Tains Ants, Second Nation, 51: 513, 508, 305
Tains Ants, Second Nation, 52: 507, 513, 133
Tains Ants, Second Nation, 53: 513, 507, 321
Tains Ants, Second Nation, 54: 508, 513, 149
Tains Ants, Second Nation, 55: 512, 506, 337
Tains Ants, Second Nation, 56: 509, 514, 165
Tains Ants, Second Nation, 57: 510, 506, 353
Tains Ants, Second Nation, 58: 510, 514, 181
Tains Ants, Second Nation, 59: 509, 506, 9
Tains Ants, Second Nation, 60: 511, 514, 197
Tains Ants, Second Nation, 61: 508, 506, 25
Tains Ants, Second Nation, 62: 512, 513, 213
Tains Ants, Second Nation, 63: 507, 507, 41
